Espacio,Municipio,Tipo,Capacidad,Parking,Inicio_totalidad,Duracion_totalidad,Dist_carretera_km,Tiempo_Maps
MotorLand Aragón,Alcañiz (Teruel),Circuito de carreras,5.000,Sí,20:29:37,1m 33s,,
Antiguo Aeródromo de Calamocha,Calamocha (Teruel),Lugar de interés histórico,5.000,Sí,20:30:04,1m 42s,,
Estación de Esquí Javalambre,Camarena de la Sierra (Teruel),Estación de esquí,5.000,Sí,20:31:19,1m 28s,,
Monreal del Campo,Monreal del Campo (Teruel),(sin especificar),5.000,Sí,20:30:17,1m 41s,,
Ariza,Ariza (Zaragoza),(sin especificar),5.000,Sí,20:29:38,1m 42s,,
Polígono de Cariñena,Cariñena (Zaragoza),Polígono industrial,5.000,Sí,20:29:25,1m 38s,,
Polígono de Épila,Épila (Zaragoza),Polígono industrial,5.000,Sí,20:29:04,1m 32s,,
Acantilado del Cabo de Peñas,Gozón (Asturias),Espacio natural,-,-,20:26:36,1m 44s,,
Playa de Verdicio,Gozón (Asturias),Playa,-,-,20:26:36,1m 44s,,
Playa de Xagó,Gozón (Asturias),Playa,-,-,20:26:36,1m 44s,,
Semáforo del Cabo de Peñas,Gozón (Asturias),Espacio natural,-,-,20:26:36,1m 44s,,
Cabo de Busto,Luarca-Valdés (Asturias),Espacio natural,4.000,Sí,20:26:47,1m 49s,,
Gamones,Luarca-Valdés (Asturias),Explanada,4.000,Sí,20:26:47,1m 49s,,
De Campa Torres a Playa de Poniente,Gijón (Asturias),Paseo marítimo,-,-,20:26:42,1m 45s,,
De Puente del Piles a Parque de la Providencia,Gijón (Asturias),Paseo marítimo,-,-,20:26:42,1m 45s,,
Barrio del Carrasqueo,Luarca-Valdés (Asturias),Carretera,800,Sí,20:26:47,1m 49s,,
Barrio del Mirador,Luarca-Valdés (Asturias),Calle,400,Sí,20:26:47,1m 49s,,
Bosque-Jardín de la Fonte Baxa,Luarca-Valdés (Asturias),Espacio natural,1.000,Sí,20:26:47,1m 49s,,
Carretera del Faro,Luarca-Valdés (Asturias),Carretera,1.000,Sí,20:26:47,1m 49s,,
Mirador de la Funiar,Luarca-Valdés (Asturias),Mirador,600,Sí,20:26:47,1m 49s,,
Paseo del Muelle,Luarca-Valdés (Asturias),Paseo marítimo,-,Sí,20:26:47,1m 49s,,
Villar,Luarca-Valdés (Asturias),Explanada,5.000,Sí,20:26:47,1m 49s,,
Faro de Ajo,Bareyo (Cantabria),Espacio natural,-,-,20:26:54,51s,,
Peña Cabarga,Medio Cudeyo (Cantabria),Espacio natural,-,-,20:26:57,1m 07s,,
Observatorio Astronómico de Cantabria,Páramo de la Lora (Cantabria),Espacio natural,-,-,20:27:40,1m 38s,,
la Virgen del Mar,Santander (Cantabria),Espacio natural,-,-,20:26:52,1m 03s,,
Suances,Suences (Cantabria),(sin especificar),-,-,20:26:52,1m 15s,,
Evento Eclipsados Ávila,Arévalo (Ávila),Explanada,-,-,20:31:10,37s,,
Embalse del Ebro,Arija (Burgos),Playa,3.000-5.000,Sí,20:27:25,1m 32s,,
Mirador de San Cibrián,Hacinas (Burgos),Parque,2,Sí,20:28:49,1m 44s,,
Centro Astronómico de Lodoso,Lodoso (Burgos),Centro astronómico,2,Sí,20:28:15,1m 44s,,
Parque eólico páramo de Poza,Poza de la Sal (Burgos),Parque eólico,5,Sí,20:27:50,1m 35s,,
Cerro afueras de Quintanarraya,Quintanarraya (Burgos),Espacio natural,1,Sí,20:29:04,1m 45s,,
Zona de barbacoas,Santo Domingo de Silos (Burgos),Espacio natural,-,-,20:28:53,1m 44s,,
Afueras de Tejada,Tejada (Burgos),Espacio natural,500,Sí,20:28:55,1m 45s,,
La Camperona,Sabero (León),Montaña,-,-,20:27:46,1m 47s,,
Palacio de Congresos y Exposiciones,León (León),Explanada,-,-,20:28:15,1m 45s,,
Mirador de los Caballos Thieldones,Saldaña (Palencia),Mirador,-,-,20:28:13,1m 47s,,
Arcones,Arcones (Segovia),(sin especificar),-,-,20:30:28,1m 25s,,
Ayllón,Ayllón (Segovia),(sin especificar),-,-,20:29:47,1m 40s,,
Boceguillas,Boceguillas (Segovia),(sin especificar),-,-,20:30:01,1m 35s,,
Collado Hermoso,Collado Hermoso (Segovia),(sin especificar),-,-,20:30:44,1m 14s,,
Otero de Herreros,Otero de Herreros (Segovia),(sin especificar),-,-,20:31:27,36s,,
Riaza,Riaza (Segovia),(sin especificar),-,-,20:30:04,1m 35s,,
Segovia,Segovia (Segovia),(sin especificar),-,-,20:31:03,58s,,
Turégano,Turégano (Segovia),(sin especificar),-,-,20:30:31,1m 19s,,
Alto del Moncayo (Cima de Peña Negrilla),Ágreda (Soria),Montaña,-,-,20:28:48,1m 34s,,
Sierra de Aleza,Buberos (Soria),Montaña,-,-,20:29:09,1m 41s,,
Muralla de Almazán,Almazán (Soria),Monumento,-,-,20:29:27,1m 44s,,
Cerro de Borobia,Borobia (Soria),Espacio natural,-,-,20:29:04,1m 38s,,
Castillo de Cabrejas del Pinar,Cabrejas del Pinar (Soria),Monumento,-,-,20:29:02,1m 44s,,
Castillo de Calatañazor,Calatañazor (Soria),Monumento,-,-,20:29:11,1m 44s,,
Pico de Urbión,Duruelo de la Sierra (Soria),Montaña,-,-,20:28:48,1m 43s,,
Campamento de Alto Real,Garray (Soria),Explanada,-,-,20:28:56,1m 41s,,
Numancia,Garray (Soria),Auditorio al aire libre,3.000,-,20:28:56,1m 41s,,
Fortaleza de Gormaz,Gormaz (Soria),Monumento,-,-,20:29:33,1m 44s,,
Castillo de Medinaceli,Medinaceli (Soria),Explanada,-,-,20:29:57,1m 42s,,
Tiermes,Montejo de Tiermes (Soria),Yacimiento arqueológico,-,-,20:29:50,1m 40s,,
Augustóbriga,Ólvega (Soria),Yacimiento arqueológico,-,-,20:28:55,1m 37s,,
Uxama,El Burgo de Osma-Ciudad de Osma (Soria),Yacimiento arqueológico,-,-,20:29:25,1m 44s,,
Muela de Peñalcázar,Quiñonería (Soria),Espacio natural,-,-,20:29:14,1m 41s,,
Sierra de Perdices,Viana de Duero (Soria),Espacio natural,-,-,20:29:22,1m 44s,,
Eras de Rioseco,Rioseco de Soria (Soria),Explanada,-,-,20:29:17,1m 44s,,
Cerro de San Leonardo de Yagüe,San Leonardo de Yagüe (Soria),Espacio natural,-,-,20:29:01,1m 45s,,
Monte Valonsadero,Soria (Soria),Espacio natural,30.000,-,20:29:01,1m 41s,,
Mirador de la Galiana,Ucero (Soria),Espacio natural,-,-,20:29:12,1m 44s,,
Alcazaren,Alcazaren (Valladolid),(sin especificar),-,-,20:30:20,1m 14s,,
Becilla de Valderaduey,Becilla de Valderaduey (Valladolid),Espacio natural,-,-,20:29:05,1m 36s,,
Cabezón del Pisuerga,Cabezón del Pisuerga (Valladolid),(sin especificar),-,-,20:29:36,1m 33s,,
Campaspero,Campaspero (Valladolid),(sin especificar),-,-,20:29:55,1m 31s,,
Castrodeza,Castrodeza (Valladolid),(sin especificar),-,-,20:29:53,1m 22s,,
Cigales,Cigales (Valladolid),(sin especificar),-,-,20:29:34,1m 33s,,
Encinas de Esgueva,Encinas de Esgueva (Valladolid),(sin especificar),-,-,20:29:23,1m 41s,,
Íscar,Íscar (Valladolid),(sin especificar),-,-,20:30:18,1m 17s,,
La Cisterniga,La Cisterniga (Valladolid),(sin especificar),-,-,20:29:51,1m 27s,,
La Parrilla,La Parrilla (Valladolid),(sin especificar),-,-,20:29:57,1m 27s,,
Medina de Rioseco,Medina de Rioseco (Valladolid),(sin especificar),-,-,20:29:27,1m 31s,,
Piñel de Abajo,Piñel de Abajo (Valladolid),(sin especificar),-,-,20:29:33,1m 38s,,
Portillo,Portillo (Valladolid),(sin especificar),-,-,20:30:05,1m 22s,,
