Espacio,Municipio,Tipo,Capacidad,Parking,Inicio totalidad,Duración totalidad,Dist_carretera_km,Tiempo_Maps,Dist_centerline_km
MotorLand Aragón,Alcañiz (Teruel),Circuito de carreras,5.000,Sí,20:29:37,1m 33s,239.5,03h 18min,26.0
Antiguo Aeródromo de Calamocha,Calamocha (Teruel),Lugar de interés histórico,5.000,Sí,20:30:04,1m 42s,205.2,02h 25min,22.2
Estación de Esquí Javalambre,Camarena de la Sierra (Teruel),Estación de esquí,5.000,Sí,20:31:19,1m 28s,128.1,01h 53min,95.4
Monreal del Campo,Monreal del Campo (Teruel),(sin especificar),5.000,Sí,20:30:17,1m 41s,189.0,02h 10min,36.0
Ariza,Ariza (Zaragoza),(sin especificar),5.000,Sí,20:29:38,1m 42s,304.6,03h 43min,7.5
Polígono de Cariñena,Cariñena (Zaragoza),Polígono industrial,5.000,Sí,20:29:25,1m 38s,255.7,02h 51min,23.7
Polígono de Épila,Épila (Zaragoza),Polígono industrial,5.000,Sí,20:29:04,1m 32s,295.4,03h 24min,48.2
Acantilado del Cabo de Peñas,Gozón (Asturias),Espacio natural,-,-,20:26:36,1m 44s,862.7,09h 44min,42.1
Playa de Verdicio,Gozón (Asturias),Playa,-,-,20:26:36,1m 44s,857.7,09h 45min,36.0
Playa de Xagó,Gozón (Asturias),Playa,-,-,20:26:36,1m 44s,855.1,09h 39min,33.5
Semáforo del Cabo de Peñas,Gozón (Asturias),Espacio natural,-,-,20:26:36,1m 44s,862.7,09h 44min,42.1
Cabo de Busto,Luarca-Valdés (Asturias),Espacio natural,4.000,Sí,20:26:47,1m 49s,901.6,10h 03min,2.8
Gamones,Luarca-Valdés (Asturias),Explanada,4.000,Sí,20:26:47,1m 49s,906.1,10h 01min,3.9
De Campa Torres a Playa de Poniente,Gijón (Asturias),Paseo marítimo,-,-,20:26:42,1m 45s,839.6,09h 25min,40.5
De Puente del Piles a Parque de la Providencia,Gijón (Asturias),Paseo marítimo,-,-,20:26:42,1m 45s,836.1,09h 16min,39.4
Barrio del Carrasqueo,Luarca-Valdés (Asturias),Carretera,800,Sí,20:26:47,1m 49s,906.0,10h 02min,3.5
Barrio del Mirador,Luarca-Valdés (Asturias),Calle,400,Sí,20:26:47,1m 49s,906.0,10h 02min,3.5
Bosque-Jardín de la Fonte Baxa,Luarca-Valdés (Asturias),Espacio natural,1.000,Sí,20:26:47,1m 49s,906.0,10h 02min,3.5
